Topic,Rank,Word,Probability
0,1,hg,0.0434
0,2,particle,0.0269
0,3,component,0.02
0,4,factor,0.0165
0,5,activity,0.0161
0,6,associated,0.0153
0,7,cell,0.0129
0,8,total,0.0119
0,9,mining,0.0109
0,10,mercury,0.0109
1,1,particle,0.0304
1,2,mass,0.0287
1,3,size,0.0148
1,4,condition,0.0137
1,5,type,0.0127
1,6,distribution,0.0104
1,7,measurement,0.0101
1,8,process,0.0095
1,9,number,0.0091
1,10,bext,0.0084
2,1,sample,0.0312
2,2,compound,0.0199
2,3,hydrocarbon,0.0174
2,4,combustion,0.0168
2,5,smoke,0.0156
2,6,organic,0.0143
2,7,fuel,0.0137
2,8,particulate,0.0135
2,9,aromatic,0.0123
2,10,product,0.0123
3,1,ethane,0.0529
3,2,n-hexane,0.033
3,3,incense,0.016
3,4,mosquito,0.0129
3,5,ar,0.0115
3,6,coil,0.011
3,7,reported,0.0088
3,8,asthma,0.0085
3,9,soafp,0.0067
3,10,young,0.0064
4,1,pahs,0.0736
4,2,risk,0.0397
4,3,health,0.0235
4,4,kuala,0.0151
4,5,lumpur,0.0149
4,6,pah,0.014
4,7,sample,0.0135
4,8,cancer,0.0122
4,9,hydrocarbon,0.0115
4,10,polycyclic,0.0113
5,1,haze,0.0313
5,2,layer,0.0289
5,3,surface,0.0152
5,4,particle,0.0147
5,5,no2,0.0143
5,6,o3,0.0142
5,7,near,0.0134
5,8,observed,0.0132
5,9,flux,0.0122
5,10,area,0.0116
6,1,smoke,0.0667
6,2,plume,0.0534
6,3,model,0.0349
6,4,wildfire,0.0332
6,5,current,0.0206
6,6,state,0.015
6,7,however,0.0136
6,8,positive,0.012
6,9,period,0.0114
6,10,united,0.011
7,1,pm,0.0598
7,2,site,0.0465
7,3,pm10,0.0448
7,4,contribution,0.0287
7,5,matter,0.0257
7,6,dust,0.0236
7,7,mass,0.0231
7,8,pm2.5,0.0189
7,9,particulate,0.0169
7,10,secondary,0.0164
8,1,cloud,0.2131
8,2,radiation,0.0432
8,3,microphysical,0.0264
8,4,solar,0.0246
8,5,transfer,0.0242
8,6,droplet,0.0216
8,7,tropical,0.0209
8,8,continental,0.0171
8,9,algorithm,0.0146
8,10,uv,0.0145
9,1,pm2.5,0.0115
9,2,quality,0.0094
9,3,control,0.0092
9,4,combustion,0.0088
9,5,organic,0.0086
9,6,chemical,0.0082
9,7,impact,0.0081
9,8,health,0.0079
9,9,significant,0.0072
9,10,primary,0.0065
10,1,storm,0.0389
10,2,tpm,0.0229
10,3,rainfall,0.0211
10,4,el,0.0198
10,5,ivory,0.0149
10,6,niño,0.0142
10,7,new,0.0125
10,8,method,0.0121
10,9,intense,0.0115
10,10,place,0.0114
11,1,fire,0.0492
11,2,haze,0.0235
11,3,southeast,0.0191
11,4,september,0.0169
11,5,region,0.0154
11,6,area,0.015
11,7,transport,0.015
11,8,malaysia,0.0146
11,9,asia,0.0134
11,10,late,0.0131
12,1,bc,0.029
12,2,season,0.014
12,3,site,0.0127
12,4,value,0.0127
12,5,winter,0.01
12,6,seasonal,0.0097
12,7,higher,0.0094
12,8,mass,0.0085
12,9,summer,0.0081
12,10,due,0.0077
13,1,indian,0.0412
13,2,south,0.0367
13,3,ocean,0.0262
13,4,loading,0.0243
13,5,winter,0.0222
13,6,india,0.0211
13,7,monsoon,0.0198
13,8,africa,0.0191
13,9,igp,0.0169
13,10,plateau,0.0165
14,1,pm2.5,0.0341
14,2,china,0.0197
14,3,secondary,0.0127
14,4,contribution,0.0098
14,5,period,0.0094
14,6,winter,0.0093
14,7,coal,0.0089
14,8,respectively,0.0084
14,9,formation,0.008
14,10,nitrate,0.0078
15,1,aot,0.0285
15,2,season,0.0221
15,3,site,0.0192
15,4,atmospheric,0.0191
15,5,region,0.0185
15,6,interpreted,0.0167
15,7,thickness,0.0166
15,8,meteorological,0.0155
15,9,variable,0.0153
15,10,pattern,0.0141
16,1,savanna,0.0309
16,2,fire,0.0226
16,3,content,0.0223
16,4,ice,0.0204
16,5,carbon,0.0185
16,6,show,0.0165
16,7,compound,0.0157
16,8,kg-1,0.0146
16,9,combustion,0.0137
16,10,experiment,0.0131
17,1,deposition,0.0592
17,2,submicrometer,0.023
17,3,flux,0.0217
17,4,brazil,0.0212
17,5,lrt,0.0183
17,6,station,0.0162
17,7,region,0.0135
17,8,sur,0.0135
17,9,5-min,0.0135
17,10,dry,0.0131
18,1,carbon,0.0269
18,2,absorption,0.0246
18,3,light,0.0209
18,4,black,0.0186
18,5,sulphate,0.0181
18,6,particle,0.0175
18,7,forcing,0.0162
18,8,soot,0.0155
18,9,average,0.0146
18,10,radiative,0.0135
19,1,residue,0.0275
19,2,crop,0.0261
19,3,straw,0.0158
19,4,high,0.0153
19,5,pollutant,0.0146
19,6,indian,0.0141
19,7,agricultural,0.014
19,8,activity,0.0131
19,9,rice,0.0117
19,10,fuel,0.0112
20,1,element,0.0316
20,2,fine,0.0194
20,3,dust,0.017
20,4,particle,0.0162
20,5,ca,0.0143
20,6,soil,0.0137
20,7,coarse,0.0132
20,8,sampling,0.0131
20,9,sample,0.013
20,10,mass,0.0119
21,1,ozone,0.0667
21,2,nox,0.0487
21,3,increase,0.0385
21,4,tropospheric,0.0238
21,5,nitrogen,0.0226
21,6,production,0.0214
21,7,region,0.0172
21,8,no2,0.0171
21,9,global,0.0168
21,10,savannah,0.0142
22,1,area,0.0217
22,2,data,0.0185
22,3,fire,0.0146
22,4,waste,0.0131
22,5,result,0.0126
22,6,show,0.0124
22,7,cereal,0.0098
22,8,spain,0.009
22,9,valley,0.0087
22,10,two,0.0086
23,1,sulphur,0.0346
23,2,period,0.0331
23,3,stacked,0.0216
23,4,black,0.0188
23,5,maritime,0.0175
23,6,occurred,0.0163
23,7,throughout,0.0158
23,8,bag,0.0153
23,9,sampling,0.0148
23,10,short,0.0137
24,1,exploratory,0.0644
24,2,pas,0.0467
24,3,eastward,0.0413
24,4,apec,0.0246
24,5,site,0.012
24,6,midnight,0.0114
24,7,segregated,0.0108
24,8,titration,0.0102
24,9,recognize,0.0102
24,10,near-ground,0.0101
25,1,pacific,0.014
25,2,measurement,0.0138
25,3,co,0.0137
25,4,o3,0.0134
25,5,transport,0.0119
25,6,ozone,0.011
25,7,layer,0.0109
25,8,southern,0.0103
25,9,plume,0.01
25,10,region,0.0093
26,1,level,0.041
26,2,co,0.0289
26,3,er,0.0221
26,4,ratio,0.0186
26,5,fire,0.0182
26,6,background,0.0161
26,7,ch4,0.016
26,8,plume,0.0156
26,9,data,0.0129
26,10,respectively,0.0122
27,1,oa,0.0496
27,2,soa,0.0375
27,3,organic,0.0364
27,4,isoprene,0.0165
27,5,secondary,0.0153
27,6,formation,0.0152
27,7,mass,0.0121
27,8,pm1,0.0115
27,9,factor,0.0113
27,10,primary,0.0104
28,1,particle,0.0281
28,2,carbon,0.0256
28,3,organic,0.024
28,4,tracer,0.0143
28,5,sample,0.0126
28,6,acid,0.0123
28,7,elemental,0.0115
28,8,area,0.0107
28,9,collected,0.0107
28,10,summer,0.0105
29,1,particle,0.0346
29,2,size,0.0178
29,3,distribution,0.0161
29,4,mode,0.0153
29,5,dust,0.0138
29,6,atmosphere,0.0127
29,7,value,0.0123
29,8,optical,0.0117
29,9,number,0.0104
29,10,observed,0.0103
30,1,pm2.5,0.0433
30,2,exposure,0.024
30,3,level,0.0162
30,4,μg/m3,0.0149
30,5,stove,0.013
30,6,home,0.0127
30,7,health,0.0125
30,8,fuel,0.0116
30,9,household,0.0113
30,10,using,0.01
31,1,singapore,0.0393
31,2,sumatra,0.0267
31,3,kalimantan,0.024
31,4,woodsmoke,0.0222
31,5,refuse,0.0179
31,6,change,0.0172
31,7,indonesia,0.0151
31,8,area,0.0105
31,9,model,0.0092
31,10,timing,0.0083
32,1,model,0.0403
32,2,factor,0.0232
32,3,data,0.0196
32,4,pmf,0.017
32,5,used,0.0162
32,6,contribution,0.0161
32,7,identified,0.0155
32,8,result,0.0154
32,9,analysis,0.015
32,10,secondary,0.0137
33,1,using,0.0577
33,2,kitchen,0.0573
33,3,indoor,0.057
33,4,lpg,0.0479
33,5,outdoor,0.034
33,6,cooking,0.0321
33,7,measurement,0.032
33,8,stove,0.0303
33,9,pm10,0.0231
33,10,type,0.022
34,1,quality,0.0243
34,2,pm2.5,0.0235
34,3,pm10,0.0221
34,4,μg,0.0218
34,5,day,0.0188
34,6,city,0.0184
34,7,level,0.0159
34,8,pollutant,0.0159
34,9,m−3,0.0119
34,10,haze,0.0111
35,1,zone,0.0396
35,2,low,0.0323
35,3,precipitation,0.0311
35,4,line,0.0306
35,5,double,0.028
35,6,coalescence,0.0177
35,7,thinsp,0.0139
35,8,growth,0.0132
35,9,mass,0.012
35,10,base,0.0119
36,1,fire,0.0289
36,2,global,0.0171
36,3,satellite,0.0136
36,4,data,0.0121
36,5,region,0.0111
36,6,estimate,0.0103
36,7,forest,0.0097
36,8,using,0.0091
36,9,model,0.0087
36,10,resolution,0.0084
37,1,oc,0.0734
37,2,ec,0.0493
37,3,carbon,0.0345
37,4,pm2.5,0.0221
37,5,respectively,0.0181
37,6,carbonaceous,0.018
37,7,period,0.0174
37,8,combustion,0.0172
37,9,ratio,0.0148
37,10,fossil,0.0142
38,1,co,0.0415
38,2,rate,0.0283
38,3,co2,0.0227
38,4,consumption,0.021
38,5,gg,0.0188
38,6,domestic,0.0152
38,7,gas,0.0149
38,8,stove,0.0142
38,9,rural,0.0139
38,10,biofuel,0.0135
39,1,hazy,0.0246
39,2,non-hazy,0.0188
39,3,wson,0.0155
39,4,carbohydrate,0.0123
39,5,wildland,0.0122
39,6,yunnan,0.0094
39,7,sensor,0.0092
39,8,artifact,0.0062
39,9,µgm−3,0.006
39,10,occupational,0.0055
